id,row,col,building_type,norm,alive_percent,resilience
0,0,0,residential,0.0,31.6667,0.281689
1,0,1,residential,0.0,27.2222,0.234069
2,0,2,residential,0.0,24.0278,0.195455
3,0,3,residential,0.0,27.9167,0.239827
4,0,4,residential,0.0,23.0556,0.1888
5,0,5,residential,0.0,30.9722,0.27294
6,0,6,residential,0.0,30.8333,0.275463
7,0,7,residential,0.0,30.5556,0.267101
8,0,8,residential,0.0,36.6667,0.336432
9,0,9,residential,0.0,31.25,0.28384
10,0,10,residential,0.0,30.8333,0.273567
11,0,11,residential,0.0,31.3889,0.279413
12,0,12,residential,0.0,26.3889,0.223684
13,0,13,residential,0.0,33.1944,0.301832
14,0,14,residential,0.0,28.1944,0.244546
15,0,15,residential,0.0,22.5,0.180721
16,0,16,residential,0.0,23.75,0.197896
17,0,17,residential,0.0,33.1944,0.296468
18,0,18,residential,0.0,31.1111,0.27342
19,0,19,residential,0.0,40.4167,0.377719
20,0,20,residential,0.0,25.1389,0.210726
21,0,21,residential,0.0,28.4722,0.24734
22,0,22,residential,0.0,43.1944,0.409287
23,0,23,residential,0.0,26.1111,0.218295
24,0,24,residential,0.0,31.3889,0.282106
25,0,25,residential,0.0,35.4167,0.325271
26,0,26,residential,0.0,29.3056,0.257104
27,0,27,residential,0.0,33.1944,0.298608
28,0,28,residential,0.0,28.75,0.252362
29,0,29,residential,0.0,32.9167,0.293835
30,0,30,residential,0.0,34.3056,0.316056
31,0,31,residential,0.0,28.8889,0.25023
32,0,32,residential,0.0,24.1667,0.198796
33,0,33,residential,0.0,37.5,0.348327
34,0,34,residential,0.0,31.3889,0.282831
35,0,35,residential,0.0,38.3333,0.356957
36,1,0,residential,0.0,30.6944,0.269125
37,1,1,residential,0.0,25.6944,0.219076
38,1,2,residential,0.0,25.5556,0.213899
39,1,3,residential,0.0,30.5556,0.270986
40,1,4,residential,0.0,28.75,0.249882
41,1,5,residential,0.0,28.4722,0.246959
42,1,6,residential,0.0,31.25,0.279902
43,1,7,residential,0.0,32.5,0.289711
44,1,8,residential,0.0,27.3611,0.235666
45,1,9,residential,0.0,29.1667,0.254727
46,1,10,residential,0.0,31.5278,0.280748
47,1,11,residential,0.0,34.8611,0.31893
48,1,12,residential,0.0,35.0,0.318012
49,1,13,residential,0.0,31.5278,0.282587
50,1,14,residential,0.0,29.5833,0.259817
51,1,15,residential,0.0,31.3889,0.279865
52,1,16,residential,0.0,33.3333,0.300701
53,1,17,residential,0.0,30.9722,0.278446
54,1,18,residential,0.0,35.1389,0.31989
55,1,19,residential,0.0,27.9167,0.236968
56,1,20,residential,0.0,30.0,0.264784
57,1,21,residential,0.0,30.8333,0.270617
58,1,22,residential,0.0,43.0556,0.405855
59,1,23,residential,0.0,34.0278,0.310463
60,1,24,residential,0.0,29.1667,0.256089
61,1,25,residential,0.0,30.8333,0.275305
62,1,26,residential,0.0,21.6667,0.161062
63,1,27,residential,0.0,29.3056,0.254758
64,1,28,residential,0.0,26.25,0.220776
65,1,29,residential,0.0,33.8889,0.308129
66,1,30,residential,0.0,26.1111,0.222642
67,1,31,residential,0.0,30.2778,0.266021
68,1,32,residential,0.0,33.4722,0.302421
69,1,33,residential,0.0,32.9167,0.298724
70,1,34,residential,0.0,32.5,0.290993
71,1,35,residential,0.0,31.1111,0.272272
72,2,0,residential,0.0,29.4444,0.258561
73,2,1,residential,0.0,24.8611,0.205932
74,2,2,residential,0.0,35.1389,0.322659
75,2,3,residential,0.0,28.75,0.251049
76,2,4,residential,0.0,25.2778,0.211205
77,2,5,residential,0.0,36.1111,0.333086
78,2,6,residential,0.0,40.8333,0.381037
79,2,7,residential,0.0,30.5556,0.267557
80,2,8,residential,0.0,34.5833,0.316613
81,2,9,residential,0.0,30.2778,0.267675
82,2,10,residential,0.0,33.4722,0.304455
83,2,11,residential,0.0,30.8333,0.27519
84,2,12,residential,0.0,26.6667,0.224866
85,2,13,residential,0.0,27.9167,0.240104
86,2,14,residential,0.0,35.6944,0.326734
87,2,15,residential,0.0,32.5,0.291116
88,2,16,residential,0.0,29.3056,0.26044
89,2,17,residential,0.0,25.4167,0.214872
90,2,18,residential,0.0,33.8889,0.308116
91,2,19,residential,0.0,33.75,0.305205
92,2,20,residential,0.0,30.5556,0.271719
93,2,21,residential,0.0,28.0556,0.244911
94,2,22,residential,0.0,30.1389,0.265074
95,2,23,residential,0.0,29.1667,0.25389
96,2,24,residential,0.0,23.6111,0.193688
97,2,25,residential,0.0,29.5833,0.257389
98,2,26,residential,0.0,26.9444,0.231944
99,2,27,residential,0.0,28.6111,0.246849
100,2,28,residential,0.0,32.7778,0.294061
101,2,29,residential,0.0,35.0,0.322578
102,2,30,residential,0.0,32.9167,0.297545
103,2,31,residential,0.0,29.7222,0.26586
104,2,32,residential,0.0,28.6111,0.247973
105,2,33,residential,0.0,30.8333,0.271542
106,2,34,residential,0.0,30.8333,0.270573
107,2,35,residential,0.0,30.0,0.264574
108,3,0,residential,0.0,32.0833,0.286195
109,3,1,residential,0.0,31.1111,0.278936
110,3,2,residential,0.0,26.1111,0.222604
111,3,3,residential,0.0,24.5833,0.205984
112,3,4,residential,0.0,33.6111,0.305051
113,3,5,residential,0.0,41.3889,0.384451
114,3,6,residential,0.0,31.3889,0.278058
115,3,7,residential,0.0,32.0833,0.29019
116,3,8,residential,0.0,30.5556,0.268872
117,3,9,residential,0.0,29.5833,0.26214
118,3,10,residential,0.0,44.5833,0.41898
119,3,11,residential,0.0,32.6389,0.292233
120,3,12,residential,0.0,24.0278,0.197968
121,3,13,residential,0.0,31.5278,0.282555
122,3,14,residential,0.0,35.5556,0.32657
123,3,15,residential,0.0,33.4722,0.302441
124,3,16,residential,0.0,25.9722,0.221797
125,3,17,residential,0.0,22.9167,0.188377
126,3,18,residential,0.0,28.3333,0.243026
127,3,19,residential,0.0,34.0278,0.309301
128,3,20,residential,0.0,35.4167,0.329169
129,3,21,residential,0.0,37.6389,0.346765
130,3,22,residential,0.0,25.6944,0.215261
131,3,23,residential,0.0,29.8611,0.263226
132,3,24,residential,0.0,31.1111,0.276418
133,3,25,residential,0.0,30.2778,0.265411
134,3,26,residential,0.0,96.1111,0.957798
135,3,27,residential,0.0,29.1667,0.253702
136,3,28,residential,0.0,30.0,0.26393
137,3,29,residential,0.0,31.8056,0.284176
138,3,30,residential,0.0,27.9167,0.243347
139,3,31,residential,0.0,31.25,0.281232
140,3,32,residential,0.0,34.8611,0.319718
141,3,33,residential,0.0,27.7778,0.237623
142,3,34,residential,0.0,27.3611,0.239271
143,3,35,residential,0.0,28.75,0.251068
144,4,0,residential,0.0,34.3056,0.309878
145,4,1,residential,0.0,41.8056,0.392252
146,4,2,residential,0.0,35.8333,0.330038
147,4,3,residential,0.0,31.5278,0.282165
148,4,4,residential,0.0,26.25,0.220097
149,4,5,residential,0.0,32.7778,0.29384
150,4,6,residential,0.0,33.8889,0.306961
151,4,7,residential,0.0,34.3056,0.312323
152,4,8,residential,0.0,45.4167,0.428377
153,4,9,residential,0.0,23.1944,0.190915
154,4,10,residential,0.0,27.7778,0.239327
155,4,11,residential,0.0,31.3889,0.281987
156,4,12,residential,0.0,33.3333,0.301963
157,4,13,residential,0.0,30.2778,0.26608
158,4,14,residential,0.0,21.3889,0.1608
159,4,15,residential,0.0,28.1944,0.2426
160,4,16,residential,0.0,29.5833,0.259724
161,4,17,residential,0.0,34.5833,0.311709
162,4,18,residential,0.0,35.2778,0.325275
163,4,19,residential,0.0,32.3611,0.291691
164,4,20,residential,0.0,31.6667,0.280805
165,4,21,residential,0.0,36.5278,0.336366
166,4,22,residential,0.0,32.9167,0.294588
167,4,23,residential,0.0,25.1389,0.209255
168,4,24,residential,0.0,31.8056,0.287293
169,4,25,residential,0.0,31.3889,0.279866
170,4,26,residential,0.0,25.0,0.212831
171,4,27,residential,0.0,24.4444,0.204278
172,4,28,residential,0.0,31.6667,0.281104
173,4,29,residential,0.0,34.7222,0.313866
174,4,30,residential,0.0,29.4444,0.258192
175,4,31,residential,0.0,28.4722,0.245175
176,4,32,residential,0.0,32.6389,0.292814
177,4,33,residential,0.0,33.0556,0.293388
178,4,34,residential,0.0,33.4722,0.302663
179,4,35,residential,0.0,28.3333,0.246988
180,5,0,residential,0.0,40.8333,0.383358
181,5,1,residential,0.0,27.7778,0.241035
182,5,2,residential,0.0,22.5,0.181862
183,5,3,residential,0.0,30.2778,0.267611
184,5,4,residential,0.0,28.3333,0.245722
185,5,5,residential,0.0,35.9722,0.330103
186,5,6,residential,0.0,34.7222,0.316254
187,5,7,residential,0.0,32.5,0.292246
188,5,8,residential,0.0,32.2222,0.290477
189,5,9,residential,0.0,26.9444,0.229573
190,5,10,residential,0.0,30.4167,0.266471
191,5,11,residential,0.0,29.8611,0.264399
192,5,12,residential,0.0,33.1944,0.301953
193,5,13,residential,0.0,35.8333,0.326751
194,5,14,residential,0.0,30.1389,0.267876
195,5,15,residential,0.0,36.3889,0.334821
196,5,16,residential,0.0,33.6111,0.306499
197,5,17,residential,0.0,31.3889,0.280802
198,5,18,residential,0.0,33.0556,0.301371
199,5,19,residential,0.0,34.3056,0.312589
200,5,20,residential,0.0,31.9444,0.282919
201,5,21,residential,0.0,35.8333,0.329438
202,5,22,residential,0.0,25.2778,0.212279
203,5,23,residential,0.0,30.9722,0.275839
204,5,24,residential,0.0,41.8056,0.391951
205,5,25,residential,0.0,27.0833,0.231013
