hour,time,alive_percent,q_t,resilience
102,2025-01-05 05:00,56.0185,0.55312,0.726621
103,2025-01-05 06:00,53.7037,0.532099,0.724732
104,2025-01-05 07:00,100.0,0.598916,0.723522
105,2025-01-05 08:00,100.0,0.908512,0.725284
106,2025-01-05 09:00,100.0,0.986733,0.727751
107,2025-01-05 10:00,100.0,0.999728,0.730293
108,2025-01-05 11:00,100.0,0.998844,0.732779
109,2025-01-05 12:00,100.0,1.0,0.735231
110,2025-01-05 13:00,100.0,1.0,0.737638
111,2025-01-05 14:00,100.0,1.0,0.740001
112,2025-01-05 15:00,100.0,1.0,0.742323
113,2025-01-05 16:00,100.0,0.998223,0.744587
114,2025-01-05 17:00,98.9969,0.968639,0.746553
115,2025-01-05 18:00,96.4506,0.938189,0.748219
116,2025-01-05 19:00,90.2006,0.89249,0.749463
117,2025-01-05 20:00,88.7346,0.887346,0.750641
118,2025-01-05 21:00,88.7346,0.886485,0.751793
119,2025-01-05 22:00,88.1173,0.875704,0.752834
120,2025-01-05 23:00,86.8056,0.86217,0.753745
121,2025-01-06 00:00,85.6481,0.844551,0.754495
122,2025-01-06 01:00,84.0278,0.832099,0.755132
123,2025-01-06 02:00,82.6389,0.814733,0.755616
124,2025-01-06 03:00,80.8642,0.799778,0.755972
125,2025-01-06 04:00,79.6296,0.793747,0.756274
126,2025-01-06 05:00,78.858,0.774195,0.756417
127,2025-01-06 06:00,76.5432,0.763024,0.756469
128,2025-01-06 07:00,100.0,0.78178,0.756666
129,2025-01-06 08:00,100.0,0.897359,0.757757
130,2025-01-06 09:00,100.0,0.945839,0.759204
131,2025-01-06 10:00,100.0,0.996359,0.761014
132,2025-01-06 11:00,100.0,0.998533,0.762814
133,2025-01-06 12:00,100.0,0.999501,0.764593
134,2025-01-06 13:00,100.0,0.999141,0.766344
135,2025-01-06 14:00,100.0,0.998086,0.76806
136,2025-01-06 15:00,100.0,0.995021,0.769729
137,2025-01-06 16:00,100.0,0.980131,0.771265
138,2025-01-06 17:00,96.2963,0.922474,0.772361
139,2025-01-06 18:00,90.1235,0.887953,0.773192
140,2025-01-06 19:00,87.8858,0.873811,0.773911
141,2025-01-06 20:00,86.8827,0.86243,0.774539
142,2025-01-06 21:00,85.6481,0.850342,0.775072
143,2025-01-06 22:00,84.7222,0.754526,0.774929
144,2025-01-06 23:00,70.4475,0.693431,0.774363
145,2025-01-07 00:00,68.287,0.665254,0.77361
146,2025-01-07 01:00,65.1235,0.642718,0.772714
147,2025-01-07 02:00,62.8858,0.6154,0.771644
148,2025-01-07 03:00,61.1883,0.607984,0.770538
149,2025-01-07 04:00,60.3395,0.601967,0.769407
150,2025-01-07 05:00,59.9537,0.596459,0.768254
151,2025-01-07 06:00,58.8735,0.587995,0.76706
152,2025-01-07 07:00,100.0,0.696628,0.766596
153,2025-01-07 08:00,100.0,0.878555,0.767328
154,2025-01-07 09:00,100.0,0.983857,0.768734
155,2025-01-07 10:00,100.0,0.999925,0.770226
156,2025-01-07 11:00,100.0,1.0,0.771699
157,2025-01-07 12:00,100.0,1.0,0.773153
158,2025-01-07 13:00,100.0,1.0,0.774589
159,2025-01-07 14:00,100.0,1.0,0.776006
160,2025-01-07 15:00,100.0,1.0,0.777406
161,2025-01-07 16:00,100.0,0.996283,0.778766
162,2025-01-07 17:00,98.7654,0.926157,0.779675
163,2025-01-07 18:00,90.2778,0.887869,0.780339
164,2025-01-07 19:00,88.1944,0.880059,0.780947
165,2025-01-07 20:00,87.5772,0.85669,0.781406
166,2025-01-07 21:00,84.3364,0.837247,0.781743
167,2025-01-07 22:00,82.8704,0.820779,0.781976
168,2025-01-07 23:00,81.5586,0.812803,0.78216
169,2025-01-08 00:00,80.6327,0.803774,0.782288
170,2025-01-08 01:00,80.0154,0.790588,0.782337
171,2025-01-08 02:00,78.7037,0.785593,0.782356
172,2025-01-08 03:00,77.9321,0.768542,0.782275
173,2025-01-08 04:00,76.3889,0.762844,0.782163
174,2025-01-08 05:00,75.8488,0.758488,0.782027
175,2025-01-08 06:00,75.8488,0.751334,0.781852
176,2025-01-08 07:00,100.0,0.778816,0.781834
177,2025-01-08 08:00,100.0,0.910198,0.78256
178,2025-01-08 09:00,100.0,0.967684,0.7836
179,2025-01-08 10:00,100.0,0.998839,0.784802
180,2025-01-08 11:00,100.0,1.0,0.785998
181,2025-01-08 12:00,100.0,1.0,0.78718
182,2025-01-08 13:00,100.0,1.0,0.788349
183,2025-01-08 14:00,100.0,0.99954,0.789503
184,2025-01-08 15:00,100.0,0.998646,0.79064
185,2025-01-08 16:00,100.0,0.997187,0.791756
186,2025-01-08 17:00,98.8426,0.9379,0.792542
187,2025-01-08 18:00,90.8179,0.898501,0.793109
188,2025-01-08 19:00,89.429,0.890723,0.793628
189,2025-01-08 20:00,88.6574,0.872628,0.794046
190,2025-01-08 21:00,85.6481,0.839757,0.794287
191,2025-01-08 22:00,83.4105,0.823026,0.794437
192,2025-01-08 23:00,81.713,0.810444,0.79452
193,2025-01-09 00:00,80.6327,0.804014,0.79457
194,2025-01-09 01:00,80.0926,0.795536,0.794575
195,2025-01-09 02:00,79.1667,0.790242,0.794552
196,2025-01-09 03:00,78.7809,0.785856,0.794508
197,2025-01-09 04:00,78.1636,0.776652,0.794417
198,2025-01-09 05:00,77.0062,0.757199,0.794229
199,2025-01-09 06:00,75.463,0.747457,0.793994
200,2025-01-09 07:00,100.0,0.769799,0.793873
201,2025-01-09 08:00,100.0,0.939215,0.794597
202,2025-01-09 09:00,100.0,0.985374,0.795541
203,2025-01-09 10:00,100.0,0.998762,0.796542
204,2025-01-09 11:00,100.0,1.0,0.797539
205,2025-01-09 12:00,100.0,1.0,0.798527
206,2025-01-09 13:00,100.0,1.0,0.799505
