hour,time,alive_percent,q_t,resilience
102,2025-01-05 05:00,51.7747,0.509876,0.692348
103,2025-01-05 06:00,49.4599,0.489362,0.690377
104,2025-01-05 07:00,100.0,0.549448,0.689022
105,2025-01-05 08:00,100.0,0.877639,0.690818
106,2025-01-05 09:00,100.0,0.978739,0.693535
107,2025-01-05 10:00,100.0,0.996419,0.696365
108,2025-01-05 11:00,100.0,0.997485,0.699154
109,2025-01-05 12:00,100.0,0.999031,0.701905
110,2025-01-05 13:00,100.0,0.997693,0.704594
111,2025-01-05 14:00,100.0,0.99414,0.707202
112,2025-01-05 15:00,100.0,0.985169,0.709684
113,2025-01-05 16:00,100.0,0.964511,0.711939
114,2025-01-05 17:00,95.2932,0.932186,0.713871
115,2025-01-05 18:00,92.5926,0.90501,0.715533
116,2025-01-05 19:00,87.5772,0.868018,0.716848
117,2025-01-05 20:00,86.034,0.856994,0.718046
118,2025-01-05 21:00,85.4167,0.848253,0.719149
119,2025-01-05 22:00,83.9506,0.829443,0.720076
120,2025-01-05 23:00,81.713,0.807822,0.720807
121,2025-01-06 00:00,80.0926,0.792631,0.721401
122,2025-01-06 01:00,78.7037,0.780534,0.721885
123,2025-01-06 02:00,77.5463,0.766623,0.722249
124,2025-01-06 03:00,76.0802,0.751635,0.722486
125,2025-01-06 04:00,74.7685,0.74522,0.722668
126,2025-01-06 05:00,73.9198,0.725788,0.722693
127,2025-01-06 06:00,71.7593,0.712826,0.722615
128,2025-01-06 07:00,100.0,0.729955,0.722672
129,2025-01-06 08:00,100.0,0.855982,0.723706
130,2025-01-06 09:00,100.0,0.929622,0.72529
131,2025-01-06 10:00,100.0,0.984837,0.727271
132,2025-01-06 11:00,100.0,0.994384,0.729295
133,2025-01-06 12:00,100.0,0.994613,0.731289
134,2025-01-06 13:00,100.0,0.992339,0.733238
135,2025-01-06 14:00,100.0,0.987627,0.735122
136,2025-01-06 15:00,100.0,0.976018,0.736893
137,2025-01-06 16:00,100.0,0.942765,0.738396
138,2025-01-06 17:00,92.2068,0.89089,0.739501
139,2025-01-06 18:00,87.2685,0.859617,0.740365
140,2025-01-06 19:00,84.9537,0.842346,0.741094
141,2025-01-06 20:00,83.642,0.824402,0.741684
142,2025-01-06 21:00,81.0185,0.798473,0.742084
143,2025-01-06 22:00,79.4753,0.698262,0.741778
144,2025-01-06 23:00,65.5093,0.647743,0.741125
145,2025-01-07 00:00,64.2747,0.627776,0.740343
146,2025-01-07 01:00,61.2654,0.603719,0.739407
147,2025-01-07 02:00,59.0278,0.576116,0.738297
148,2025-01-07 03:00,57.2531,0.563839,0.737118
149,2025-01-07 04:00,55.7099,0.55598,0.735902
150,2025-01-07 05:00,55.4784,0.549391,0.734659
151,2025-01-07 06:00,53.7809,0.537281,0.733352
152,2025-01-07 07:00,100.0,0.644382,0.732766
153,2025-01-07 08:00,100.0,0.85188,0.733545
154,2025-01-07 09:00,100.0,0.968881,0.735073
155,2025-01-07 10:00,100.0,0.997845,0.736768
156,2025-01-07 11:00,100.0,0.999777,0.738454
