id,row,col,norm,final_health,service_ratio,total_demand,total_generated,total_self_served,total_imported,total_exported,total_unmet,final_storage
426,11,30,0.2622,0.6073,0.8019,900.41,800.999,634.93,87.067,166.069,178.412,0.0
427,11,31,0.9242,0.2517,0.5794,2193.927,836.901,836.865,434.27,0.035,922.791,0.0
428,11,32,0.0038,0.0243,0.87,149.73,133.068,129.864,0.403,3.204,19.463,0.0
429,11,33,0.0243,1.0,0.9475,134.15,159.076,125.313,1.794,1.209,7.044,32.555
430,11,34,0.1073,1.0,0.977,844.723,1384.247,824.06,1.238,9.408,19.425,550.778
431,11,35,0.9539,0.2716,0.7562,149.73,133.068,99.828,13.399,33.239,36.502,0.0
432,12,0,0.7898,0.9811,0.9822,167.143,101.054,100.119,64.041,0.935,2.983,0.0
433,12,1,0.8148,1.0,0.9935,89.615,161.441,88.659,0.376,48.372,0.58,24.411
434,12,2,0.9281,1.0,0.9938,272.625,508.327,270.933,0.002,2.816,1.69,234.578
435,12,3,0.0087,1.0,0.9942,272.625,508.327,270.933,0.098,0.214,1.593,237.18
436,12,4,0.8228,1.0,0.9721,1382.718,1851.988,1340.136,4.009,55.908,38.573,455.944
437,12,5,0.6073,0.9941,0.984,272.625,508.327,219.827,48.44,288.5,4.358,0.0
438,12,6,0.8612,1.0,0.9803,272.625,508.327,267.203,0.048,169.893,5.374,71.231
439,12,7,0.3619,1.0,0.9756,1382.718,1851.988,1336.476,12.506,63.014,33.736,452.497
440,12,8,0.079,1.0,0.983,1382.718,1851.988,1337.793,21.47,151.053,23.456,363.142
441,12,9,0.3917,1.0,0.9934,89.615,161.441,88.691,0.334,23.625,0.591,49.125
442,12,10,0.2473,1.0,0.9789,89.615,161.441,82.666,5.057,76.319,1.892,2.456
443,12,11,0.6495,1.0,0.6792,1755.8,1326.868,975.63,216.982,351.028,563.188,0.21
444,12,12,0.5526,0.2347,0.5764,3741.612,1769.062,1768.482,388.091,0.58,1585.039,0.0
445,12,13,0.1607,0.2074,0.7778,89.615,161.441,65.63,4.074,95.811,19.911,0.0
446,12,14,0.8835,0.7776,0.8557,168.032,53.134,52.64,91.147,0.494,24.244,0.0
447,12,15,0.2649,0.822,0.9102,167.143,101.054,97.867,54.264,3.187,15.013,0.0
448,12,16,0.2083,0.9171,0.9434,161.264,67.898,67.84,84.302,0.058,9.122,0.0
449,12,17,0.4985,1.0,0.9938,89.615,161.441,89.059,0.0,10.33,0.556,62.053
450,12,18,0.9721,1.0,0.9772,89.615,161.441,85.435,2.137,65.567,2.043,10.44
451,12,19,0.2342,1.0,0.9772,667.338,677.514,646.379,5.729,21.041,15.23,10.093
452,12,20,0.4609,0.6137,0.7344,195.788,227.733,97.265,46.518,130.468,52.005,0.0
453,12,21,0.2349,0.0118,0.3655,13730.551,4077.543,4076.991,941.911,0.552,8711.648,0.0
454,12,22,0.847,0.7958,0.7315,4814.89,2278.128,1683.112,1839.064,595.015,1292.714,0.0
455,12,23,0.7798,0.0,0.4833,76.554,96.974,31.619,5.376,65.355,39.559,0.0
456,12,24,0.2938,0.0,0.32,35537.748,10296.835,10296.834,1075.87,0.001,24165.043,0.0
457,12,25,0.2677,0.0626,0.5909,191.188,158.737,99.369,13.595,59.368,78.224,0.0
458,12,26,0.7381,0.257,0.6569,76.554,96.974,41.134,9.154,55.84,26.266,0.0
459,12,27,0.4394,0.0013,0.3799,120102.188,45167.181,45167.002,458.908,0.179,74476.278,0.0
460,12,28,0.2453,1.0,0.961,289.518,573.213,212.451,65.768,360.178,11.3,0.584
461,12,29,0.2814,0.4916,0.8637,149.73,133.068,116.825,12.494,16.243,20.411,0.0
462,12,30,0.3263,1.0,0.9123,189.86,204.839,171.587,1.63,32.129,16.643,1.122
463,12,31,0.2517,1.0,0.9512,2258.333,2867.502,2126.332,21.764,632.968,110.238,108.202
464,12,32,0.5073,0.2517,0.5734,2193.927,836.901,836.901,421.017,0.0,936.009,0.0
465,12,33,0.6496,0.0243,0.7077,113.475,193.66,70.801,9.505,122.859,33.17,0.0
466,12,34,0.6533,0.1073,0.7621,187.099,197.807,136.451,6.144,61.356,44.504,0.0
467,12,35,0.1023,0.0,0.7116,689.278,436.61,435.442,55.072,1.168,198.765,0.0
468,13,0,0.8828,0.0008,0.7041,987.382,1156.038,693.898,1.328,462.14,292.156,0.0
469,13,1,0.8406,0.8223,0.9259,168.032,53.134,52.323,103.251,0.811,12.458,0.0
470,13,2,0.0404,1.0,0.994,272.625,508.327,270.933,0.055,1.112,1.636,236.283
