norm,building_type_filter,load_profile_source,solar_source,pv_area_m2,pv_generation_scale,battery_capacity_kwh,agents,grid,simulation_start,simulation_end,simulated_hours,no_sun_day,no_sun_date,dead_hours_until_permanent,alive_percent,resilience,runtime_seconds
0.0,residential,synthetic residential archetype + Gaussian noise (prepare_agents.py),synthetic solar archetype + Gaussian noise (prepare_agents.py),1.0,5.0,5.0,1296,36x36,2025-01-01 00:00,2025-01-30 23:00,720,15,2025-01-15,24,31.742,0.282714,1.389
1.0,residential,synthetic residential archetype + Gaussian noise (prepare_agents.py),synthetic solar archetype + Gaussian noise (prepare_agents.py),1.0,5.0,5.0,1296,36x36,2025-01-01 00:00,2025-01-30 23:00,720,15,2025-01-15,24,29.3043,0.261875,1.656
