id,row,col,alive_percent,resilience
0,0,0,94.8611,0.948611
1,0,1,94.8611,0.948611
2,0,2,97.7778,0.977778
3,0,3,97.7778,0.977778
4,0,4,97.7778,0.977778
5,0,5,54.5833,0.545833
6,0,6,49.7222,0.497222
7,0,7,79.8611,0.798611
8,0,8,79.4444,0.794444
9,0,9,97.2222,0.972222
10,0,10,93.8889,0.938889
11,0,11,89.3056,0.893056
12,0,12,95.0,0.95
13,0,13,97.2222,0.972222
14,0,14,97.3611,0.973611
15,0,15,98.8889,0.988889
16,0,16,98.75,0.9875
17,0,17,98.8889,0.988889
18,0,18,22.2222,0.222222
19,0,19,35.5556,0.355556
20,0,20,32.2222,0.322222
21,0,21,35.5556,0.355556
22,0,22,16.25,0.1625
23,0,23,38.75,0.3875
24,0,24,44.4444,0.444444
25,0,25,61.8056,0.618056
26,0,26,86.9444,0.869444
27,0,27,87.9167,0.879167
28,0,28,83.6111,0.836111
29,0,29,82.6389,0.826389
30,0,30,72.3611,0.723611
31,0,31,57.2222,0.572222
32,0,32,96.3889,0.963889
33,0,33,96.5278,0.965278
34,0,34,96.9444,0.969444
35,0,35,54.8611,0.548611
36,1,0,93.6111,0.936111
37,1,1,74.8611,0.748611
38,1,2,95.4167,0.954167
39,1,3,97.7778,0.977778
40,1,4,76.5278,0.765278
41,1,5,59.7222,0.597222
42,1,6,58.75,0.5875
43,1,7,40.6944,0.406944
44,1,8,97.2222,0.972222
45,1,9,97.6389,0.976389
46,1,10,97.7778,0.977778
47,1,11,94.3056,0.943056
48,1,12,90.6944,0.906944
49,1,13,94.1667,0.941667
50,1,14,97.2222,0.972222
51,1,15,94.3056,0.943056
52,1,16,98.8889,0.988889
53,1,17,82.3611,0.823611
54,1,18,80.1389,0.801389
55,1,19,94.4444,0.944444
56,1,20,19.8611,0.198611
57,1,21,97.7778,0.977778
58,1,22,27.7778,0.277778
59,1,23,98.1944,0.981944
60,1,24,19.5833,0.195833
61,1,25,63.75,0.6375
62,1,26,62.0833,0.620833
63,1,27,85.1389,0.851389
64,1,28,85.9722,0.859722
65,1,29,83.6111,0.836111
66,1,30,97.9167,0.979167
67,1,31,93.8889,0.938889
68,1,32,94.7222,0.947222
69,1,33,98.75,0.9875
70,1,34,95.4167,0.954167
71,1,35,95.5556,0.955556
72,2,0,57.5,0.575
73,2,1,95.4167,0.954167
74,2,2,95.6944,0.956944
75,2,3,97.2222,0.972222
76,2,4,85.0,0.85
77,2,5,71.9444,0.719444
78,2,6,66.9444,0.669444
79,2,7,48.8889,0.488889
80,2,8,97.6389,0.976389
81,2,9,97.7778,0.977778
82,2,10,97.7778,0.977778
83,2,11,97.7778,0.977778
84,2,12,81.25,0.8125
85,2,13,35.8333,0.358333
86,2,14,94.0278,0.940278
87,2,15,98.0556,0.980556
88,2,16,94.1667,0.941667
89,2,17,82.0833,0.820833
90,2,18,94.4444,0.944444
91,2,19,94.8611,0.948611
92,2,20,97.6389,0.976389
93,2,21,98.6111,0.986111
94,2,22,98.6111,0.986111
95,2,23,98.3333,0.983333
96,2,24,98.3333,0.983333
97,2,25,11.9444,0.119444
98,2,26,63.6111,0.636111
99,2,27,58.4722,0.584722
100,2,28,83.4722,0.834722
101,2,29,97.9167,0.979167
102,2,30,97.9167,0.979167
103,2,31,97.9167,0.979167
104,2,32,98.75,0.9875
105,2,33,98.6111,0.986111
106,2,34,98.6111,0.986111
107,2,35,76.8056,0.768056
108,3,0,26.5278,0.265278
109,3,1,96.25,0.9625
110,3,2,97.2222,0.972222
111,3,3,94.8611,0.948611
112,3,4,95.0,0.95
113,3,5,84.0278,0.840278
114,3,6,68.3333,0.683333
115,3,7,40.0,0.4
116,3,8,22.5,0.225
117,3,9,97.6389,0.976389
118,3,10,97.7778,0.977778
119,3,11,77.0833,0.770833
120,3,12,55.5556,0.555556
121,3,13,97.0833,0.970833
122,3,14,97.9167,0.979167
123,3,15,99.0278,0.990278
124,3,16,98.3333,0.983333
125,3,17,14.1667,0.141667
126,3,18,89.1667,0.891667
127,3,19,94.1667,0.941667
128,3,20,98.6111,0.986111
129,3,21,98.8889,0.988889
130,3,22,98.8889,0.988889
131,3,23,98.75,0.9875
132,3,24,98.1944,0.981944
133,3,25,52.0833,0.520833
134,3,26,52.2222,0.522222
135,3,27,46.1111,0.461111
136,3,28,18.8889,0.188889
137,3,29,88.6111,0.886111
138,3,30,97.7778,0.977778
139,3,31,88.1944,0.881944
140,3,32,87.9167,0.879167
141,3,33,98.75,0.9875
142,3,34,92.5,0.925
143,3,35,73.6111,0.736111
144,4,0,95.8333,0.958333
145,4,1,96.6667,0.966667
146,4,2,96.6667,0.966667
147,4,3,92.2222,0.922222
148,4,4,98.3333,0.983333
149,4,5,98.75,0.9875
150,4,6,75.5556,0.755556
151,4,7,98.0556,0.980556
152,4,8,43.1944,0.431944
153,4,9,68.8889,0.688889
154,4,10,81.3889,0.813889
155,4,11,76.1111,0.761111
156,4,12,96.9444,0.969444
157,4,13,97.7778,0.977778
158,4,14,98.8889,0.988889
159,4,15,99.0278,0.990278
160,4,16,99.0278,0.990278
161,4,17,98.3333,0.983333
162,4,18,14.5833,0.145833
163,4,19,89.3056,0.893056
164,4,20,79.5833,0.795833
165,4,21,98.4722,0.984722
166,4,22,98.4722,0.984722
167,4,23,98.0556,0.980556
168,4,24,41.3889,0.413889
169,4,25,30.9722,0.309722
170,4,26,48.3333,0.483333
171,4,27,33.0556,0.330556
172,4,28,61.3889,0.613889
173,4,29,6.1111,0.061111
174,4,30,87.7778,0.877778
175,4,31,38.8889,0.388889
176,4,32,93.4722,0.934722
177,4,33,96.8056,0.968056
178,4,34,95.8333,0.958333
179,4,35,98.4722,0.984722
180,5,0,50.6944,0.506944
181,5,1,95.6944,0.956944
182,5,2,86.1111,0.861111
183,5,3,98.4722,0.984722
184,5,4,98.75,0.9875
185,5,5,98.4722,0.984722
186,5,6,98.75,0.9875
187,5,7,97.9167,0.979167
188,5,8,98.0556,0.980556
189,5,9,85.5556,0.855556
190,5,10,82.3611,0.823611
191,5,11,79.5833,0.795833
192,5,12,97.7778,0.977778
193,5,13,97.7778,0.977778
194,5,14,98.1944,0.981944
195,5,15,99.0278,0.990278
196,5,16,98.3333,0.983333
197,5,17,98.6111,0.986111
198,5,18,98.3333,0.983333
199,5,19,41.9444,0.419444
200,5,20,28.1944,0.281944
201,5,21,83.0556,0.830556
202,5,22,75.1389,0.751389
203,5,23,76.6667,0.766667
204,5,24,32.2222,0.322222
205,5,25,23.6111,0.236111
206,5,26,20.4167,0.204167
207,5,27,61.5278,0.615278
208,5,28,62.0833,0.620833
209,5,29,67.5,0.675
210,5,30,82.7778,0.827778
211,5,31,93.75,0.9375
212,5,32,96.9444,0.969444
213,5,33,97.7778,0.977778
214,5,34,98.4722,0.984722
215,5,35,98.3333,0.983333
216,6,0,58.0556,0.580556
217,6,1,81.1111,0.811111
218,6,2,54.0278,0.540278
219,6,3,97.2222,0.972222
220,6,4,98.4722,0.984722
221,6,5,98.75,0.9875
222,6,6,98.3333,0.983333
223,6,7,98.0556,0.980556
224,6,8,96.6667,0.966667
225,6,9,88.0556,0.880556
226,6,10,95.0,0.95
227,6,11,98.3333,0.983333
228,6,12,95.6944,0.956944
229,6,13,97.6389,0.976389
230,6,14,89.7222,0.897222
231,6,15,98.1944,0.981944
232,6,16,85.9722,0.859722
233,6,17,98.3333,0.983333
234,6,18,74.7222,0.747222
235,6,19,76.25,0.7625
236,6,20,48.1944,0.481944
237,6,21,48.8889,0.488889
238,6,22,76.1111,0.761111
239,6,23,41.1111,0.411111
240,6,24,20.8333,0.208333
241,6,25,31.1111,0.311111
242,6,26,35.4167,0.354167
243,6,27,22.9167,0.229167
