day,date,alive_percent,q_t,resilience
1,2025-01-01,60.1177,0.538174,0.538174
2,2025-01-02,72.2672,0.68273,0.68273
3,2025-01-03,81.6422,0.777943,0.777943
4,2025-01-04,78.4594,0.745796,0.745796
5,2025-01-05,85.9118,0.833415,0.833415
6,2025-01-06,88.0498,0.855957,0.855957
7,2025-01-07,83.2176,0.807439,0.807439
8,2025-01-08,84.2721,0.818257,0.818257
9,2025-01-09,85.5195,0.834006,0.834006
10,2025-01-10,84.9023,0.821413,0.821413
11,2025-01-11,90.7279,0.889522,0.889522
12,2025-01-12,92.6183,0.911758,0.911758
13,2025-01-13,93.9622,0.925687,0.925687
14,2025-01-14,93.0684,0.915768,0.915768
15,2025-01-15,66.9592,0.666955,0.666955
16,2025-01-16,84.1982,0.822944,0.822944
17,2025-01-17,91.2551,0.892648,0.892648
18,2025-01-18,88.3841,0.864828,0.864828
19,2025-01-19,84.8894,0.810361,0.810361
20,2025-01-20,84.3686,0.81906,0.81906
21,2025-01-21,90.6604,0.879578,0.879578
22,2025-01-22,89.8759,0.883304,0.883304
23,2025-01-23,93.8882,0.925191,0.925191
24,2025-01-24,91.5541,0.896711,0.896711
25,2025-01-25,87.2717,0.844232,0.844232
26,2025-01-26,86.558,0.838516,0.838516
27,2025-01-27,89.9016,0.873374,0.873374
28,2025-01-28,93.3867,0.91835,0.91835
29,2025-01-29,91.8274,0.888416,0.888416
30,2025-01-30,85.4488,0.817763,0.817763
