id,row,col,building_type,norm,alive_percent,critical_percent,permanently_dead,resilience
94,2,22,residential,1.0,37.3611,0.0,True,0.360613
95,2,23,residential,1.0,30.8333,0.6944,True,0.283044
96,2,24,residential,1.0,29.0278,0.0,True,0.275613
97,2,25,residential,1.0,31.6667,0.0,True,0.295923
98,2,26,residential,1.0,40.5556,0.0,True,0.390398
99,2,27,residential,1.0,32.7778,0.0,True,0.314041
100,2,28,residential,1.0,29.0278,0.5556,True,0.265459
101,2,29,residential,1.0,30.1389,0.0,True,0.285458
102,2,30,residential,1.0,20.9722,2.0833,True,0.168825
103,2,31,residential,1.0,19.4444,1.1111,True,0.141202
104,2,32,residential,1.0,20.5556,0.1389,True,0.172831
105,2,33,residential,1.0,24.7222,2.0833,True,0.205831
106,2,34,residential,1.0,24.5833,0.0,True,0.231332
107,2,35,residential,1.0,23.8889,1.8056,True,0.184184
108,3,0,residential,1.0,27.9167,0.0,True,0.26139
109,3,1,residential,1.0,24.0278,0.2778,True,0.217906
110,3,2,residential,1.0,23.4722,0.4167,True,0.203887
111,3,3,residential,1.0,20.0,1.1111,True,0.155875
112,3,4,residential,1.0,20.6944,2.0833,True,0.126814
113,3,5,residential,1.0,21.5278,0.1389,True,0.188598
114,3,6,residential,1.0,23.75,0.1389,True,0.220791
115,3,7,residential,1.0,20.9722,0.2778,True,0.173306
116,3,8,residential,1.0,25.2778,0.1389,True,0.239635
117,3,9,residential,1.0,24.7222,0.6944,True,0.217127
118,3,10,residential,1.0,25.2778,0.0,True,0.242634
119,3,11,residential,1.0,26.6667,0.0,True,0.252707
120,3,12,residential,1.0,24.1667,1.6667,True,0.207361
121,3,13,residential,1.0,22.0833,0.6944,True,0.189147
122,3,14,residential,1.0,28.6111,0.0,True,0.269551
123,3,15,residential,1.0,32.3611,0.0,True,0.302467
124,3,16,residential,1.0,34.0278,0.0,True,0.319221
125,3,17,residential,1.0,39.4444,0.1389,True,0.375477
126,3,18,residential,1.0,37.2222,0.0,True,0.364985
127,3,19,residential,1.0,36.6667,0.0,True,0.346365
128,3,20,residential,1.0,30.8333,0.1389,True,0.286759
129,3,21,residential,1.0,36.6667,0.0,True,0.352477
130,3,22,residential,1.0,37.0833,0.0,True,0.356952
131,3,23,residential,1.0,36.6667,0.0,True,0.344317
132,3,24,residential,1.0,32.0833,0.0,True,0.298299
133,3,25,residential,1.0,40.5556,0.0,True,0.388935
134,3,26,residential,1.0,41.8056,0.1389,True,0.40579
135,3,27,residential,1.0,40.5556,0.0,True,0.384777
136,3,28,residential,1.0,32.0833,0.9722,True,0.29289
137,3,29,residential,1.0,31.9444,0.0,True,0.304432
138,3,30,residential,1.0,30.1389,0.0,True,0.287197
139,3,31,residential,1.0,23.4722,0.0,True,0.215527
140,3,32,residential,1.0,24.7222,0.1389,True,0.229388
141,3,33,residential,1.0,25.5556,0.2778,True,0.243621
142,3,34,residential,1.0,25.2778,0.1389,True,0.232306
143,3,35,residential,1.0,21.8056,1.9444,True,0.172603
144,4,0,residential,1.0,28.75,0.0,True,0.279846
145,4,1,residential,1.0,27.9167,0.2778,True,0.251976
146,4,2,residential,1.0,24.4444,0.0,True,0.23464
147,4,3,residential,1.0,23.75,0.4167,True,0.205908
148,4,4,residential,1.0,20.5556,1.9444,True,0.159626
149,4,5,residential,1.0,28.8889,0.2778,True,0.266171
150,4,6,residential,1.0,23.0556,0.6944,True,0.201985
151,4,7,residential,1.0,22.5,1.8056,True,0.190695
152,4,8,residential,1.0,22.2222,0.4167,True,0.196846
153,4,9,residential,1.0,21.3889,0.4167,True,0.183882
154,4,10,residential,1.0,26.6667,0.2778,True,0.239583
155,4,11,residential,1.0,28.0556,0.0,True,0.269285
156,4,12,residential,1.0,26.6667,0.0,True,0.243487
157,4,13,residential,1.0,23.1944,0.1389,True,0.219017
158,4,14,residential,1.0,21.3889,0.4167,True,0.175945
159,4,15,residential,1.0,34.0278,0.0,True,0.325172
160,4,16,residential,1.0,40.1389,0.1389,True,0.386167
161,4,17,residential,1.0,40.4167,0.0,True,0.390429
162,4,18,residential,1.0,39.5833,0.1389,True,0.382358
163,4,19,residential,1.0,34.7222,0.0,True,0.334808
164,4,20,residential,1.0,19.4444,0.6944,True,0.157462
165,4,21,residential,1.0,33.4722,0.4167,True,0.314412
166,4,22,residential,1.0,36.6667,0.0,True,0.343621
167,4,23,residential,1.0,29.5833,0.9722,True,0.262441
168,4,24,residential,1.0,30.9722,0.8333,True,0.280322
169,4,25,residential,1.0,41.3889,0.1389,True,0.392292
170,4,26,residential,1.0,41.6667,0.0,True,0.402658
171,4,27,residential,1.0,40.8333,0.0,True,0.392794
172,4,28,residential,1.0,34.8611,0.2778,True,0.337139
173,4,29,residential,1.0,32.0833,0.0,True,0.311776
174,4,30,residential,1.0,31.1111,0.1389,True,0.298352
175,4,31,residential,1.0,24.7222,0.0,True,0.233906
176,4,32,residential,1.0,24.8611,1.5278,True,0.213209
177,4,33,residential,1.0,26.1111,0.0,True,0.249389
178,4,34,residential,1.0,25.1389,0.4167,True,0.235716
179,4,35,residential,1.0,22.5,0.4167,True,0.196899
180,5,0,residential,1.0,29.5833,0.1389,True,0.281833
181,5,1,residential,1.0,28.6111,0.2778,True,0.261381
182,5,2,residential,1.0,27.3611,0.4167,True,0.246313
183,5,3,residential,1.0,28.8889,0.4167,True,0.265442
184,5,4,residential,1.0,30.4167,0.2778,True,0.287166
185,5,5,residential,1.0,29.0278,0.0,True,0.278009
186,5,6,residential,1.0,28.8889,0.2778,True,0.268507
187,5,7,residential,1.0,20.5556,0.1389,True,0.192974
188,5,8,residential,1.0,21.3889,0.0,True,0.197862
189,5,9,residential,1.0,20.4167,1.9444,True,0.160007
190,5,10,residential,1.0,27.7778,0.1389,True,0.259697
191,5,11,residential,1.0,28.0556,0.0,True,0.276229
192,5,12,residential,1.0,27.7778,1.25,True,0.242963
193,5,13,residential,1.0,20.2778,1.9444,True,0.143917
